idx, sentence
0,các cổ_đông đã tiến_hành đề_cử và biểu_quyết bầu_cử bổ_sung thành_viên hội_đồng_quản_trị  hđqt  nhiệm_kỳ 2015  2020 
1,căn_cứ kết_quả biểu_quyết  đại_hội nhất_trí bầu bổ_sung ông dương_trí_thành vào hội_đồng_quản_trị tổng_công_ty hàng_không việt_nam  ctcp  vietnam_airlines  nhiệm_kỳ 2015  2020 
2,ngay sau đại_hội cổ_đông thường_niên năm 2016  hội_đồng_quản_trị tổng_công_ty này đã họp và nhất_trí thông_qua ông phạm_viết_thanh thôi giữ chức_vụ chủ_tịch hđqt_vietnam_airlines  ctcp do thay_đổi công_tác theo phân_công của bộ_chính_trị  ông phạm_ngọc_minh  thành_viên hđqt thôi kiêm giữ chức tổng_giám_đốc để bổ_nhiệm làm chủ_tịch hđqt 
3,thông_qua ông dương_trí_thành thôi giữ chức phó_tổng_giám_đốc để bổ_nhiệm chức_vụ thành_viên hđqt kiêm giữ chức tổng_giám_đốc vietnam_airlines  ctcp 
4,các quyết_định sẽ chính_thức có hiệu_lực từ 0  00 ngày 1/6/2016  giờ việt_nam  
5,sau hơn một năm chuyển_đổi hoạt_động theo mô_hình công_ty cổ_phần  ngày 1/4/2015   tại đại_hội  các cổ_đông của vietnam_airlines đã thảo_luận và biểu_quyết thông_qua các nội_dung của đại_hội_đồng cổ_đông thường_niên năm 2016  trong đó tập_trung vào báo_cáo kết_quả sxkd năm 2015 và các chỉ_tiêu chính của kế_hoạch sản_xuất kinh_doanh  kế_hoạch đầu_tư phát_triển năm 2016 … 
6,về kết_quả sản_xuất kinh_doanh năm 2015  tổng_công_ty đã hoàn_thành vượt mức các chỉ_tiêu kế_hoạch đại_hội_đồng cổ_đông lần thứ nhất đã thông_qua  tổng_sản_lượng vận_chuyển hành_khách đạt khoảng 174 triệu lượt khách và hàng_hóa đạt 2216 ngàn tấn  tổng_doanh_thu tổng_công_ty hợp_nhất đạt hơn 69 ngàn tỷ đồng trong đó doanh_thu công_ty mẹ đạt hơn 566 ngàn tỷ đồng  lợi_nhuận trước thuế hợp_nhất đạt 10488 tỷ đồng  tăng hơn 70  so với kế_hoạch 2015  tỷ_lệ lợi_nhuận ròng trên vốn chủ_sở_hữu vượt hơn 73  so với kế_hoạch năm 
7,bên_cạnh đó  tổng_công_ty đã hoàn_thành thoái vốn 13 danh_mục đầu_tư ngoài ngành  đạt 98  tổng giá_trị thoái vốn theo kế_hoạch với tổng_số tiền thu được là 819 tỷ đồng  cao hơn 2 lần giá_trị đầu_tư thực_tế 
8,tại đại_hội  thứ_trưởng bộ giao_thông vận_tải nguyễn_nhật nhấn_mạnh  bộ giao_thông vận_tải đánh_giá cao nỗ_lực bứt_phá của vietnam_ailines ngay trong năm đầu_tiên hoạt_động theo mô_hình ctcp với kết_quả kinh_doanh ấn_tượng và những chuyển_biến vượt_bậc 
9,tổng_công_ty đã tiến_hành cổ_phần_hóa theo quy_trình bài_bản  khoa_học và đặc_biệt đang hoàn_tất việc lựa_chọn cổ_đông chiến_lược là những thành_tựu rất đáng ghi_nhận 
10,“ việc vietnam_airlines luôn ưu_tiên ứng_dụng công_nghệ mới vào điều_hành hoạt_động sản_xuất kinh_doanh  điển_hình là khai_thác thành_công các dòng máy_bay thế_hệ mới boeing 787  9 và airbus_a350 và sử_dụng công_nghệ_thông_tin hiện_đại trong hệ_thống quản_trị tổng_công_ty  đã chứng_tỏ vai_trò của doanh_nghiệp dẫn_đầu trong đổi_mới và hội_nhập quốc_tế  ”  thứ_trưởng nguyễn_nhật đánh_giá 
11,về kế_hoạch sản_xuất kinh_doanh năm 2016 được đại_hội cổ_đông thông_qua  vietnam_airlines phấn_đấu đạt tổng_sản_lượng vận_chuyển khách là gần 201 triệu lượt khách  doanh_thu hợp nhất là 778 ngàn tỷ đồng  trong đó công_ty mẹ đạt 629 nghìn tỷ đồng  lợi_nhuận trước thuế hợp_nhất toàn tổng_công_ty đạt 23 ngàn tỷ đồng  trong đó công_ty mẹ đạt gần 16 ngàn tỷ đồng  tổng_số vốn đầu_tư là 99 ngàn tỷ đồng  tập_trung ưu_tiên cho những dự_án cấp_thiết  phù_hợp với mục_tiêu dài_hạn  hỗ_trợ nâng cao năng_lực cạnh_tranh và hiệu_quả sxkd 
